colony,cryo_id,pae_treatment,temp_treatment,tank,cryo_replicate,pae_ugL,freeze_date,notes
1,1-Ea,Environmental,kaybay,,a,0,8/5/2022,
1,1-Eb,Environmental,kaybay,,b,0,8/5/2022,
2,2-Ea,Environmental,kaybay,,a,0,8/5/2022,
2,2-Eb,Environmental,kaybay,,b,0,8/5/2022,
3,3-Ea,Environmental,kaybay,,a,0,8/5/2022,
3,3-Eb,Environmental,kaybay,,b,0,8/5/2022,
4,4-Ea,Environmental,kaybay,,a,0,8/5/2022,
4,4-Eb,Environmental,kaybay,,b,0,8/5/2022,
5,5-Ea,Environmental,kaybay,,a,0,8/5/2022,
5,5-Eb,Environmental,kaybay,,b,0,8/5/2022,
6,6-Ea,Environmental,kaybay,,a,0,8/5/2022,
6,6-Eb,Environmental,kaybay,,b,0,8/5/2022,
7,7-Ea,Environmental,kaybay,,a,0,8/5/2022,
7,7-Eb,Environmental,kaybay,,b,0,8/5/2022,
8,8-Ea,Environmental,kaybay,,a,0,8/5/2022,
8,8-Eb,Environmental,kaybay,,b,0,8/5/2022,
9,9-Ea,Environmental,kaybay,,a,0,8/5/2022,
9,9-Eb,Environmental,kaybay,,b,0,8/5/2022,
10,10-Ea,Environmental,kaybay,,a,0,8/5/2022,
10,10-Eb,Environmental,kaybay,,b,0,8/5/2022,
1,1-Ab,Acclimation,acclimation,,b,0,8/15/2022,
1,1-Aa,Acclimation,acclimation,,a,0,8/15/2022,
2,2-Aa,Acclimation,acclimation,,a,0,8/15/2022,
2,2-Ab,Acclimation,acclimation,,b,0,8/15/2022,
3,3-Aa,Acclimation,acclimation,,a,0,8/15/2022,
3,3-Ab,Acclimation,acclimation,,b,0,8/15/2022,
4,4-Aa,Acclimation,acclimation,,a,0,8/15/2022,
4,4-Ab,Acclimation,acclimation,,b,0,8/15/2022,
5,5-Aa,Acclimation,acclimation,,a,0,8/15/2022,
5,5-Ab,Acclimation,acclimation,,b,0,8/15/2022,
6,6-Aa,Acclimation,acclimation,,a,0,8/15/2022,
6,6-Ab,Acclimation,acclimation,,b,0,8/15/2022,
7,7-Aa,Acclimation,acclimation,,a,0,8/15/2022,
7,7-Ab,Acclimation,acclimation,,b,0,8/15/2022,
8,8-Aa,Acclimation,acclimation,,a,0,8/15/2022,
8,8-Ab,Acclimation,acclimation,,b,0,8/15/2022,
9,9-Aa,Acclimation,acclimation,,a,0,8/15/2022,
9,9-Ab,Acclimation,acclimation,,b,0,8/15/2022,
10,10-Aa,Acclimation,acclimation,,a,0,8/15/2022,
10,10-Ab,Acclimation,acclimation,,b,0,8/15/2022,
1,1-CA2a,Control,ambient,A2,a,0,8/17/2022,
1,1-CA2b,Control,ambient,A2,b,0,8/17/2022,
1,1-CH2a,Control,hot,H2,a,0,8/17/2022,
1,1-CH2b,Control,hot,H2,b,0,8/17/2022,
1,1-LA2a,Low,ambient,A2,a,0.5,8/17/2022,
1,1-LA2b,Low,ambient,A2,b,0.5,8/17/2022,
1,1-LH2a,Low,hot,H2,a,0.5,8/17/2022,
1,1-LH2b,Low,hot,H2,b,0.5,8/17/2022,
1,1-MA1a,Mid,ambient,A1,a,5,8/17/2022,
1,1-MA1b,Mid,ambient,A1,b,5,8/17/2022,
1,1-MH2a,Mid,hot,H2,a,5,8/17/2022,
1,1-MH2b,Mid,hot,H2,b,5,8/17/2022,
1,1-HA2a,High,ambient,A2,a,50,8/17/2022,
1,1-HA2b,High,ambient,A2,b,50,8/17/2022,
1,1-HH2a,High,hot,H2,a,50,8/17/2022,
1,1-HH2b,High,hot,H2,b,50,8/17/2022,
1,1-PA2a,Peak,ambient,A2,a,150,8/17/2022,
1,1-PA2b,Peak,ambient,A2,b,150,8/17/2022,
1,1-PH1a,Peak,hot,H1,a,150,8/17/2022,
1,1-PH1b,Peak,hot,H1,b,150,8/17/2022,
1,1-OA2a,Overdose,ambient,A2,a,500,8/17/2022,
1,1-OA2b,Overdose,ambient,A2,b,500,8/17/2022,
1,1-OH2a,Overdose,hot,H2,a,500,8/17/2022,
1,1-OH2b,Overdose,hot,H2,b,500,8/17/2022,
2,2-CA2a,Control,ambient,A2,a,0,8/17/2022,
2,2-CA2b,Control,ambient,A2,b,0,8/17/2022,
2,2-CH1a,Control,hot,H1,a,0,8/17/2022,
2,2-CH1b,Control,hot,H1,b,0,8/17/2022,
2,2-LA1a,Low,ambient,A1,a,0.5,8/17/2022,
2,2-LA1b,Low,ambient,A1,b,0.5,8/17/2022,
2,2-LH2a,Low,hot,H2,a,0.5,8/17/2022,
2,2-LH2b,Low,hot,H2,b,0.5,8/17/2022,
2,2-MA2a,Mid,ambient,A2,a,5,8/17/2022,
2,2-MA2b,Mid,ambient,A2,b,5,8/17/2022,
2,2-MH1a,Mid,hot,H1,a,5,8/17/2022,
2,2-MH1b,Mid,hot,H1,b,5,8/17/2022,
2,2-HA2a,High,ambient,A2,a,50,8/17/2022,
2,2-HA2b,High,ambient,A2,b,50,8/17/2022,
